nominal,data,curs,cdx
1,22.02.2012,29.7796,Доллар США
1,23.02.2012,29.7692,Доллар США
1,25.02.2012,29.4490,Доллар США
1,28.02.2012,29.1264,Доллар США
1,29.02.2012,28.9503,Доллар США
1,01.03.2012,29.0253,Доллар США
1,02.03.2012,29.2889,Доллар США
1,03.03.2012,29.2960,Доллар США
1,06.03.2012,29.2892,Доллар США
1,07.03.2012,29.4508,Доллар США
1,08.03.2012,29.6621,Доллар США
1,12.03.2012,29.5406,Доллар США
1,13.03.2012,29.6666,Доллар США
1,14.03.2012,29.5091,Доллар США
1,15.03.2012,29.5125,Доллар США
1,16.03.2012,29.5822,Доллар США
1,17.03.2012,29.3578,Доллар США
1,20.03.2012,29.2224,Доллар США
1,21.03.2012,29.1652,Доллар США
1,22.03.2012,29.2079,Доллар США
1,23.03.2012,29.2447,Доллар США
1,24.03.2012,29.4038,Доллар США
1,27.03.2012,29.2311,Доллар США
1,28.03.2012,28.9468,Доллар США
1,29.03.2012,29.0845,Доллар США
1,30.03.2012,29.2853,Доллар США
1,31.03.2012,29.3282,Доллар США
1,03.04.2012,29.3479,Доллар США
1,04.04.2012,29.2944,Доллар США
1,05.04.2012,29.4285,Доллар США
1,06.04.2012,29.4303,Доллар США
1,07.04.2012,29.4606,Доллар США
1,10.04.2012,29.6358,Доллар США
1,11.04.2012,29.6359,Доллар США
1,12.04.2012,29.8033,Доллар США
1,13.04.2012,29.5690,Доллар США
1,14.04.2012,29.4711,Доллар США
1,17.04.2012,29.7614,Доллар США
1,18.04.2012,29.6368,Доллар США
1,19.04.2012,29.4978,Доллар США
1,20.04.2012,29.5122,Доллар США
1,21.04.2012,29.5214,Доллар США
1,24.04.2012,29.4880,Доллар США
1,25.04.2012,29.4549,Доллар США
1,26.04.2012,29.2962,Доллар США
1,27.04.2012,29.2770,Доллар США
1,28.04.2012,29.4234,Доллар США
1,29.04.2012,29.3627,Доллар США
1,03.05.2012,29.3708,Доллар США
1,04.05.2012,29.4630,Доллар США
1,05.05.2012,29.5937,Доллар США
1,06.05.2012,29.8075,Доллар США
1,11.05.2012,30.1891,Доллар США
1,12.05.2012,30.2306,Доллар США
1,13.05.2012,30.1793,Доллар США
1,15.05.2012,30.2652,Доллар США
1,16.05.2012,30.3299,Доллар США
1,17.05.2012,30.9758,Доллар США
1,18.05.2012,30.9417,Доллар США
1,19.05.2012,31.3921,Доллар США
1,22.05.2012,31.1582,Доллар США
1,23.05.2012,31.0644,Доллар США
1,24.05.2012,31.3803,Доллар США
1,25.05.2012,31.6247,Доллар США
1,26.05.2012,31.7572,Доллар США
1,29.05.2012,31.8270,Доллар США
1,30.05.2012,32.0860,Доллар США
1,31.05.2012,32.4509,Доллар США
1,01.06.2012,32.9173,Доллар США
1,02.06.2012,33.7384,Доллар США
1,05.06.2012,34.0395,Доллар США
1,06.06.2012,33.2001,Доллар США
1,07.06.2012,32.7889,Доллар США
1,08.06.2012,32.1922,Доллар США
1,09.06.2012,32.7358,Доллар США
1,10.06.2012,32.5862,Доллар США
1,14.06.2012,32.7331,Доллар США
1,15.06.2012,32.5766,Доллар США
1,16.06.2012,32.3945,Доллар США
1,19.06.2012,32.1315,Доллар США
1,20.06.2012,32.5315,Доллар США
1,21.06.2012,32.5166,Доллар США
1,22.06.2012,32.9054,Доллар США
1,23.06.2012,33.5191,Доллар США
1,26.06.2012,33.1693,Доллар США
1,27.06.2012,33.1732,Доллар США
1,28.06.2012,32.8384,Доллар США
1,29.06.2012,32.9412,Доллар США
1,30.06.2012,32.8169,Доллар США
1,03.07.2012,32.5287,Доллар США
1,04.07.2012,32.4789,Доллар США
1,05.07.2012,32.2065,Доллар США
1,06.07.2012,32.4727,Доллар США
1,07.07.2012,32.6240,Доллар США
1,10.07.2012,32.9907,Доллар США
1,11.07.2012,32.9754,Доллар США
1,12.07.2012,32.8282,Доллар США
1,13.07.2012,32.7177,Доллар США
1,14.07.2012,32.6590,Доллар США
1,17.07.2012,32.6208,Доллар США
1,18.07.2012,32.4955,Доллар США
1,19.07.2012,32.4041,Доллар США
1,20.07.2012,32.0764,Доллар США
1,21.07.2012,31.9509,Доллар США
1,24.07.2012,32.3760,Доллар США
1,25.07.2012,32.6324,Доллар США
1,26.07.2012,32.9657,Доллар США
1,27.07.2012,32.6224,Доллар США
1,28.07.2012,32.2131,Доллар США
1,31.07.2012,32.1881,Доллар США
1,01.08.2012,32.2058,Доллар США
1,02.08.2012,32.3322,Доллар США
1,03.08.2012,32.4563,Доллар США
1,04.08.2012,32.5361,Доллар США
1,07.08.2012,31.9451,Доллар США
1,08.08.2012,31.6644,Доллар США
1,09.08.2012,31.6907,Доллар США
1,10.08.2012,31.4807,Доллар США
1,11.08.2012,31.8974,Доллар США
1,14.08.2012,31.8707,Доллар США
1,15.08.2012,31.7739,Доллар США
1,16.08.2012,31.8532,Доллар США
1,17.08.2012,31.9011,Доллар США
1,18.08.2012,31.8469,Доллар США
1,21.08.2012,32.0165,Доллар США
1,22.08.2012,31.9606,Доллар США
1,23.08.2012,31.8056,Доллар США
1,24.08.2012,31.6830,Доллар США
1,25.08.2012,31.8099,Доллар США
1,28.08.2012,31.8703,Доллар США
1,29.08.2012,32.0183,Доллар США
1,30.08.2012,32.0942,Доллар США
1,31.08.2012,32.2934,Доллар США
1,01.09.2012,32.5669,Доллар США
1,04.09.2012,32.4171,Доллар США
1,05.09.2012,32.1995,Доллар США
1,06.09.2012,32.4608,Доллар США
1,07.09.2012,32.1998,Доллар США
1,08.09.2012,32.0142,Доллар США
1,11.09.2012,31.7221,Доллар США
1,12.09.2012,31.7768,Доллар США
